🚀 NovelGen Web UI is running at http://localhost:8080
[GIN] 2026/06/02 - 22:56:13 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:14 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:16 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:17 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:19 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:21 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:22 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:24 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:25 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:27 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:29 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:30 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:32 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:33 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:35 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:37 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:38 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:40 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:41 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:43 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:45 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
[GIN] 2026/06/02 - 22:56:46 | 200 |            0s |             ::1 | GET      "/api/tasks/21721bb2-58e5-4612-81e2-64fc4c21f6a9"
